lag,acf,acf_ci_low,acf_ci_hi,pacf,pacf_ci_low,pacf_ci_hi
0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.6756488839673395,0.5400753402910455,0.8112224276436334,0.6756488839673395,0.5400753402910455,0.8112224276436334
2,0.5095529711527265,0.3220393787809016,0.6970665635245513,0.0976112139987715,-0.0379623296775224,0.2331847576750654
3,0.3935217597026999,0.1820839066836919,0.604959612721708,0.03138919538152959,-0.1041843482947643,0.1669627390578235
4,0.25907685805963304,0.03458041297375547,0.4835733031455106,-0.07594270038891796,-0.21151624406521186,0.059630843287375945
5,0.19625794701975402,-0.0336682152033094,0.42618410924281747,0.03196391257656747,-0.10360963109972643,0.16753745625286137
6,0.23541940131843467,0.0024345391810480788,0.46840426345582126,0.17183706359885811,0.036263519922564214,0.307410607275152
7,0.20494414695193477,-0.03237270900323999,0.44226100290710957,-0.01700411576519753,-0.15257765944149143,0.11856942791109637
8,0.11331463170064446,-0.12723329085052223,0.3538625542518111,-0.13746001406992558,-0.2730335577462195,-0.001886470393631684
9,0.08369757998563948,-0.15782946565797523,0.3252246256292542,0.001273110359418186,-0.13430043331687572,0.13684665403571208
10,0.034515420900201425,-0.20754413923424594,0.2765749810346488,-0.012174396437106041,-0.14774794011339995,0.12339914723918786
11,-0.010495949276217265,-0.2526459519769671,0.23165405342453255,-0.010436979090965314,-0.1460105227672592,0.1251365645853286
12,-0.016191248678370674,-0.2583496132097342,0.22596711585299287,-0.017405967650207604,-0.1529795113265015,0.1181675760260863
13,0.0018461171072604921,-0.24033214468366584,0.24402437889818682,0.020300859278839373,-0.11527268439745453,0.15587440295513327
14,0.0006850578348903043,-0.2414934626182555,0.24286357828803612,0.019203016016548002,-0.1163705276597459,0.1547765596928419
15,-0.024240990544323528,-0.26641954661540274,0.2179375655267557,-0.04858123506083662,-0.18415477873713051,0.08699230861545729
16,-0.04940553726330453,-0.291628687182662,0.19281761265605296,-0.049339756428418736,-0.18491330010471263,0.08623378724787517
17,-0.039131812965745055,-0.28154011110975474,0.20327648517826466,0.0557490885697135,-0.0798244551065804,0.1913226322460074
18,-0.01804875212823979,-0.26057313053443215,0.22447562627795256,0.05537826302400624,-0.08019528065228766,0.19095180670030015
19,0.03320567276560407,-0.20934339255172935,0.2757547380829375,0.06660989179535777,-0.06896365188093613,0.20218343547165168
20,0.07212313088443634,-0.17050947551040774,0.3147557372792804,0.010845135988770576,-0.12472840768752333,0.14641867966506447
